# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
32,UpdateArrowOrBoomerang,3,3000,1000,127841
32,AnimateAndDrawObjectWalking,3,3240,1080,127841
32,GetCollidableTile,3,3240,1080,127841
32,_ags_prearm,1,40,40,127841
32,DriveAudio,1,8,8,127841
32,_tick,1,127841,127841,127841
33,VBlankISR,1,96,96,127841
33,IsrNmi,1,1056,1056,127841
33,UpdateMode,1,264,264,127841
33,TransferCurTileBuf,1,120,120,127841
33,music_tick,1,232,232,127841
33,UpdatePlayer,1,320,320,127841
33,UpdateObject,4,4736,1184,127841
33,CheckMonsterCollisions,2,656,328,127841
33,MoveObject,5,920,184,127841
33,Walker_Move,3,2760,920,127841
33,Walker_CheckTileCollision,3,1272,424,127841
33,UpdateMoblin,2,1040,520,127841
33,UpdateArrowOrBoomerang,3,3000,1000,127841
33,AnimateAndDrawObjectWalking,2,2160,1080,127841
33,GetCollidableTile,2,2160,1080,127841
33,_oam_dma_flush,1,232,232,127841
