# label=nes system=NES start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40
999,00,01,00,1A,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1000,00,01,00,1A,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1001,00,01,00,1B,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1002,00,01,00,1B,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1003,00,01,00,1C,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1004,00,01,00,1C,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1005,00,01,00,1D,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1006,00,01,00,1D,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1007,00,01,00,1E,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1008,00,01,00,1E,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1009,00,01,00,1F,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1010,00,01,00,1F,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1011,00,01,00,20,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1012,00,01,00,20,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1013,00,01,00,21,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1014,00,01,00,21,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1015,00,01,00,22,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1016,00,01,00,22,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1017,00,01,00,23,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1018,00,01,00,23,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1019,00,01,00,24,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1020,00,01,00,24,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1021,00,01,00,25,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1022,00,01,00,25,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1023,00,01,00,26,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1024,00,01,00,26,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1025,00,01,00,27,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1026,00,01,00,27,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1027,00,01,00,28,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1028,00,01,00,28,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1029,00,01,00,29,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1030,00,01,00,29,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1031,00,01,00,2A,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1032,00,01,00,2A,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1033,00,01,00,2B,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
1034,00,01,00,2B,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
