frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
1065,00,01,00,1D,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1066,00,01,00,1E,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1067,00,01,00,1E,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1068,00,01,00,1F,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1069,00,01,00,1F,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1070,00,01,00,20,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1071,00,01,00,20,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1072,00,01,00,21,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1073,00,01,00,21,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1074,00,01,00,22,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1075,00,01,00,22,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1076,00,01,00,23,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1077,00,01,00,23,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1078,00,01,00,24,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1079,00,01,00,24,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1080,00,01,00,25,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1081,00,01,00,25,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1082,00,01,00,26,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1083,00,01,00,26,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1084,00,01,00,27,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1085,00,01,00,27,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1086,00,01,00,28,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1087,00,01,00,28,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1088,00,01,00,29,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1089,00,01,00,29,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1090,00,01,00,2A,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1091,00,01,00,2A,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1092,00,01,00,2B,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1093,00,01,00,2B,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1094,00,01,00,2C,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1095,00,01,00,2C,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1096,00,01,00,2D,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1097,00,01,00,2D,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1098,00,01,00,2E,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1099,00,01,00,2E,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1100,00,01,00,2F,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1101,00,01,00,2F,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1102,00,01,00,30,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
